sort_order,candidate_origin,source_name,source_sequence_name,canonical_sequence_id,role_candidate,location_family,license_status,availability,selected,selected_namespace,selected_role,decision_reason,metadata_record_sha256,source_path,source_row
4,DAY6_SEQUENCE_INVENTORY,HILTI_2021,Basement,HILTI_2021__Basement,DEGENERATE,hilti_basement,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,DEGENERATE,FUTURE_DEGENERATE,d23cd05c3cb7f264b5a200afa6c18ced3ed487a4f0bc248cf52b5280f82085ae,docs/datasets/dataset_sequence_inventory_v1.csv,5
5,DAY6_SEQUENCE_INVENTORY,HILTI_2021,Basement_3,HILTI_2021__Basement_3,DEGENERATE,hilti_basement,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,DEGENERATE,FUTURE_DEGENERATE,502629ba44dc132594174f6fbddd5ccf6f3cb502a252ce9f41e2494bbe975e06,docs/datasets/dataset_sequence_inventory_v1.csv,6
6,DAY6_SEQUENCE_INVENTORY,HILTI_2021,Construction_Site_Outdoor_1,HILTI_2021__Construction_Site_Outdoor_1,DEGENERATE,hilti_construction,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,FUTURE_SOURCE_CAP_REACHED,46dc924bfad582b4b1ab9ca172641d5ff596546ebee933283ec37aac94e358d7,docs/datasets/dataset_sequence_inventory_v1.csv,7
7,DAY6_SEQUENCE_INVENTORY,M2DGR,hall_02,M2DGR__hall_02,DEGENERATE,m2dgr_hall,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,DEGENERATE,FUTURE_DEGENERATE,51e76b1472cd1ccd47a6389ed5af59b5a90c5326f02e72347b11920d4d196d81,docs/datasets/dataset_sequence_inventory_v1.csv,21
8,DAY6_SEQUENCE_INVENTORY,M2DGR,room_01,M2DGR__room_01,CONTROL,m2dgr_room,CLEARED,METADATA_AVAILABLE,true,HOLDOUT_DEV,CONTROL,HOLDOUT_CONTROL,a24a281ebf78a81f2572377116963fd56a9ae1746b79b4b363a1f6d927aa26a9,docs/datasets/dataset_sequence_inventory_v1.csv,19
9,DAY6_SEQUENCE_INVENTORY,M2DGR,room_dark_01,M2DGR__room_dark_01,DEGENERATE,m2dgr_roomdark,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,FUTURE_DEGENERATE_QUOTA_FILLED,88c9c40fd6d13926327ea285dbaabfe3099ae287f97332ae30b1797f823e975e,docs/datasets/dataset_sequence_inventory_v1.csv,20
10,DAY6_SEQUENCE_INVENTORY,M2DGR,street_02,M2DGR__street_02,CONTROL,m2dgr_street,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,CONTROL,FUTURE_CONTROL,7e40e315647584a8f3313d56a6b4daf3613ac43bfb1ba8f5157fffa6a3e5a64d,docs/datasets/dataset_sequence_inventory_v1.csv,22
11,DAY6_SEQUENCE_INVENTORY,MULRAN,DCC01,MULRAN__DCC01,CONTROL,mulran_dcc,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,CONTROL,FUTURE_CONTROL,072118833d9b3facdea0962d877bec800c31186078e6e43b9b584f2b021a5766,docs/datasets/dataset_sequence_inventory_v1.csv,23
12,DAY6_SEQUENCE_INVENTORY,MULRAN,KAIST01,MULRAN__KAIST01,CONTROL,mulran_kaist,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,CONTROL,FUTURE_CONTROL,257396ed07e4ccadee243278e3d7a15b88f821c217b3c211712c456f5c853f29,docs/datasets/dataset_sequence_inventory_v1.csv,24
13,DAY6_SEQUENCE_INVENTORY,MULRAN,Riverside01,MULRAN__Riverside01,CONTROL,mulran_riverside,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,FUTURE_SOURCE_CAP_REACHED,caf5140622530d33a8796fdc5814522173e4a996c5555996bee9864f1e820557,docs/datasets/dataset_sequence_inventory_v1.csv,25
14,DAY6_SEQUENCE_INVENTORY,MUN_FRL,bell412_dataset1,MUN_FRL__bell412_dataset1,DEGENERATE,mun_bell412,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,1e3de789f211e72581cda53b73e35dc3c4e11d506500fc3fca8433c77e18b307,docs/datasets/dataset_sequence_inventory_v1.csv,34
15,DAY6_SEQUENCE_INVENTORY,MUN_FRL,bell412_dataset6,MUN_FRL__bell412_dataset6,DEGENERATE,mun_bell412,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,6fb707f85fc6d4d42b98f25781c59ffcb3276010af5c7d33fce194e2d8fdb84d,docs/datasets/dataset_sequence_inventory_v1.csv,35
16,DAY6_SEQUENCE_INVENTORY,MUN_FRL,lighthouse,MUN_FRL__lighthouse,CONTROL,mun_dji_lighthouse,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,CANONICALIZED_TO_FIXED_MUN_FRL__Lighthouse_benchmarking_bag,5854b2edb899ce8f4911d4b296ae7b7f7ad028e267d2e56c96c5c06e18bb49f2,docs/datasets/dataset_sequence_inventory_v1.csv,32
17,DAY6_SEQUENCE_INVENTORY,MUN_FRL,quarry1,MUN_FRL__quarry1,CONTROL,mun_dji_quarry,CLEARED,METADATA_AVAILABLE,true,FUTURE_TEST,CONTROL,FUTURE_CONTROL,885304715a216326244e86170ad38dfa47a8bf7a5b5f6952cd4db4656576ab82,docs/datasets/dataset_sequence_inventory_v1.csv,33
18,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_MULTICAM,Cloister,NEWER_COLLEGE_MULTICAM__Cloister,DEGENERATE,ncd_multicam_college,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,6450947188607704bc64ee576f46699956326f9006b907fee8bf9908808bec04,docs/datasets/dataset_sequence_inventory_v1.csv,12
19,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_MULTICAM,Maths_Easy,NEWER_COLLEGE_MULTICAM__Maths_Easy,CONTROL,ncd_multicam_maths,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,c71d0cb1c50bc1f9d7471fe53452bf3bf532a72e14771b29b12a7e17d5016839,docs/datasets/dataset_sequence_inventory_v1.csv,14
20,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_MULTICAM,Maths_Hard,NEWER_COLLEGE_MULTICAM__Maths_Hard,DEGENERATE,ncd_multicam_maths,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,53575592dfb2657678eb66ad2b9b4aeead326c2c627fafe178ff53700c79aab9,docs/datasets/dataset_sequence_inventory_v1.csv,15
21,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_MULTICAM,Park,NEWER_COLLEGE_MULTICAM__Park,CONTROL,ncd_multicam_college,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,39124f7b485bce2280002089edf5bee23ac8506e556f8a70fb78fc52a9715577,docs/datasets/dataset_sequence_inventory_v1.csv,13
22,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_MULTICAM,Stairs,NEWER_COLLEGE_MULTICAM__Stairs,DEGENERATE,ncd_multicam_college,CLEARED,BLOCKED_DOWNLOAD,false,NONE,NONE,BLOCKED_DOWNLOAD,4f54a4949073622f789d6d59565b454f1078ffd67b277edc73ead432da444c5d,docs/datasets/dataset_sequence_inventory_v1.csv,11
23,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_ORIGINAL,long_experiment,NEWER_COLLEGE_ORIGINAL__long_experiment,CONTROL,ncd_original_college,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,d1312d8d0427a78b6fb926bd63e264eb0373c8c3ce011a85656d337040e60fb5,docs/datasets/dataset_sequence_inventory_v1.csv,9
24,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_ORIGINAL,quad_with_dynamics,NEWER_COLLEGE_ORIGINAL__quad_with_dynamics,DEGENERATE,ncd_original_aggressive,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,be1415f55e5a477307b89e43ca870c157aed97f9a02fc9e37c199e011934e164,docs/datasets/dataset_sequence_inventory_v1.csv,10
25,DAY6_SEQUENCE_INVENTORY,NEWER_COLLEGE_ORIGINAL,short_experiment,NEWER_COLLEGE_ORIGINAL__short_experiment,CONTROL,ncd_original_college,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,287b6e679583dba2494c936cd643ef92ec50017ff1bd135278fca1cc432c928c,docs/datasets/dataset_sequence_inventory_v1.csv,8
26,DAY6_SEQUENCE_INVENTORY,NTU_VIRAL,eee_01,NTU_VIRAL__eee_01,CONTROL,ntu_eee,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,LOCATION_FAMILY_ALREADY_ASSIGNED_TO_DEVELOPMENT,acc03fa52c57e535c2e744df6123d28ec9d8add8e328776e6fe58b9340d0525a,docs/datasets/dataset_sequence_inventory_v1.csv,16
27,DAY6_SEQUENCE_INVENTORY,NTU_VIRAL,tnp_01,NTU_VIRAL__tnp_01,DEGENERATE,ntu_tnp,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,249bb30931fea775896f9f8b34ac001dd36a7061df826d7bfdac2268ac657406,docs/datasets/dataset_sequence_inventory_v1.csv,17
28,DAY6_SEQUENCE_INVENTORY,NTU_VIRAL,tnp_03,NTU_VIRAL__tnp_03,DEGENERATE,ntu_tnp,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,c555b6a73196e39297b300b3bddbc3b2cc2ecca0757d2ec5b669508fb6c70fcd,docs/datasets/dataset_sequence_inventory_v1.csv,18
29,DAY6_SEQUENCE_INVENTORY,SUBT_MRS,BlockLiDAR,SUBT_MRS__BlockLiDAR,DEGENERATE,subt_mill19,HOLD_LICENSE,METADATA_AVAILABLE,false,NONE,NONE,HOLD_LICENSE,b6fc1af7cf9b328f8ed570e9f0df90dfde05353aea2f7fbfe77d4ca690762208,docs/datasets/dataset_sequence_inventory_v1.csv,4
30,DAY6_SEQUENCE_INVENTORY,SUBT_MRS,Long_Corridor,SUBT_MRS__Long_Corridor,DEGENERATE,subt_hawkins,HOLD_LICENSE,METADATA_AVAILABLE,false,NONE,NONE,HOLD_LICENSE,78dba058b60f052661e74c8f8c11cf8c74ea559ab47707b52f7ce7c523f9da88,docs/datasets/dataset_sequence_inventory_v1.csv,2
31,DAY6_SEQUENCE_INVENTORY,SUBT_MRS,Multi_Floor,SUBT_MRS__Multi_Floor,DEGENERATE,subt_hawkins,HOLD_LICENSE,METADATA_AVAILABLE,false,NONE,NONE,HOLD_LICENSE,2aabcab7f9e9b0d6834010b88effef8d5ec39f1462507364e4cffcf89912c9e6,docs/datasets/dataset_sequence_inventory_v1.csv,3
32,DAY6_SEQUENCE_INVENTORY,TIERS_ENHANCED,Indoor09,TIERS_ENHANCED__Indoor09,DEGENERATE,tiers_indoor_corridor,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,eaf57206fa9a11166dc4e9748487d732c40c3fef3cb3f84d02f12e67945c9af9,docs/datasets/dataset_sequence_inventory_v1.csv,29
33,DAY6_SEQUENCE_INVENTORY,TIERS_ENHANCED,Indoor10,TIERS_ENHANCED__Indoor10,DEGENERATE,tiers_indoor_corridor,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,4ae7206b7dca6ad68977505435b470d814a93aa7a1819bff44a53f9ac1f7c007,docs/datasets/dataset_sequence_inventory_v1.csv,30
34,DAY6_SEQUENCE_INVENTORY,TIERS_ENHANCED,Road3,TIERS_ENHANCED__Road3,CONTROL,tiers_road,CLEARED,METADATA_AVAILABLE,false,NONE,NONE,REQUESTED_NAMESPACE_QUOTAS_FILLED,d2642263aa7f3205ea21c83bc0cfed043e3afb0ee65c10822d4c62c5e49c21f5,docs/datasets/dataset_sequence_inventory_v1.csv,31
