repository,commit,file_relpath,file_sha256,symbol,symbol_kind,line_start,line_end,data_role,read_write_class,native_type,shape_or_dimension,coordinate_frame,units,lifecycle_stage,measurement_iteration_semantics,day3_extraction_candidate,confidence,notes
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","ikdtree.Build","call site","908","921","initial_map_build","WRITE","PointVector","feats_down_size points","world","meters","map initialization","scan is skipped after initial build; no LiDAR update on that scan","false","CONFIRMED","Initial map mutation is a separate lifecycle branch before normal scan-to-map updates."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/esekfom/esekfom.hpp","b990411209fe06ae64112c8bc807b0c2a13922fc1460ec2745c6701cc9344e85","update_iterated_dyn_share_modified loop and h_dyn_share","method and callback call","1619","1641","measurement_iteration_entry","READ_WRITE","dyn_share_datastruct and state_ikfom","dynamic N rows; native H has 12 columns","native state coordinates","meters and state units","iterated LiDAR update","up to maximum_iter+1 attempted calls; h_dyn_share runs before each correction","true","CONFIRMED","x_propagated and P_propagated are copied before the loop; the first valid callback is therefore the propagated prior even if earlier callbacks were invalid."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/esekfom/esekfom.hpp","b990411209fe06ae64112c8bc807b0c2a13922fc1460ec2745c6701cc9344e85","private loop variable i","loop index","1632","1641","measurement_iteration_index","READ","no callback-visible native index","scalar scan-local counter proposed","scan lifecycle","count","iterated LiDAR update","reset before update and increment once per h_share_model callback","true","DERIVABLE","The native i is private and not passed to h_share_model. A read-only collector counter can deterministically expose attempted-call index without controlling the filter."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","ikdtree.Nearest_Search in h_share_model","call site","650","672","nearest_neighbor_query","READ_WRITE","PointVector plus vector<float>","up to NUM_MATCH_POINTS neighbors per current point","query point and map points in world","squared meters for returned distances","measurement-model correspondence construction","recomputed only when dyn_share.converge is true; otherwise cached neighbors are reused","true","CONFIRMED","Nearest_Points[i] is updated by the formal measurement model; no extra query is allowed for the tap."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","for i over feats_down_size","loop index","650","665","current_point_index","READ","int i","0..feats_down_size-1","scan-end LiDAR point sequence","index","measurement-model correspondence construction","same source index on every model call; valid rows are later compacted","true","CONFIRMED","Day 3 must copy i for accepted rows during the serial compaction and must not use thread scheduling order."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","Nearest_Points[i]","global correspondence cache element","663","672","neighbor_set","READ_WRITE","PointVector","NUM_MATCH_POINTS world points when valid","world","meters","measurement-model correspondence construction","conditionally recomputed and otherwise reused across iterations","true","CONFIRMED","The ordered emitted coordinates and pointSearchSqDis are available during the formal query; no native stable map-point IDs are exposed."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/common_lib.h","8ba52138be2d523fbac056968614c00584dd8a6390866008a4de03f479ec1136","esti_plane","template function","225","257","plane_fit","READ_WRITE","Matrix<T,4,1> and PointVector","five neighbors to four plane coefficients","world","meters","measurement-model correspondence construction","recomputed for every selected point on every valid model call","true","CONFIRMED","Solves A*n=-1, normalizes n, sets d=1/||n||, and rejects any neighbor farther than threshold from the plane."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","pabcd and normvec","local plane and accepted-plane cache","676","690","plane_parameters","READ_WRITE","VF(4); PointType normal/intensity","[nx,ny,nz,d] then [nx,ny,nz,pd2]","world","unit normal; d and pd2 in meters","measurement-model correspondence construction","recomputed each model call from the current or cached neighbor set","true","CONFIRMED","pabcd is the normalized world plane n^T x + d=0; normvec stores n and signed pd2 for accepted correspondences."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","point_selected_surf[i]","global validity cache","667","705","correspondence_valid_flag","READ_WRITE","bool","one flag per downsampled current point","scan lifecycle","boolean","measurement-model correspondence construction","nearest-neighbor validity may be reused; plane and residual acceptance are recomputed","true","CONFIRMED","Valid requires five neighbors, farthest squared distance <=5, plane threshold 0.1, and selection score s>0.9."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","effct_feat_num","global count","695","715","valid_correspondence_count","READ_WRITE","int","scalar N","scan lifecycle","count","measurement-model compaction","recomputed for every valid model call","true","CONFIRMED","Counts accepted rows and defines the row count of h_x and h."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","pd2; ekfom_data.h(i)","expression and innovation vector","676","751","point_to_plane_residual","READ_WRITE","float pd2; dynamic vector h","N x 1","world-plane residual evaluated at a world point","meters","measurement-model construction before state correction","recomputed every valid model call","true","CONFIRMED","pd2=nx*xw+ny*yw+nz*zw+d is signed distance because n is unit. The formal filter innovation stores h=-pd2. The selection score uses abs(pd2) but is not a measurement weight; no robust kernel is applied."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","ekfom_data.h_x row construction","matrix construction","719","751","measurement_jacobian","WRITE","Eigen::MatrixXd","N x 12","mixed native tangent: position world; rotations right/local; extrinsic translation IMU/body","dimensionless or meters per state unit","measurement-model construction before state correction","recomputed every valid model call","true","CONFIRMED","Native row order is [delta_position_world(3), delta_rotation_body_right(3), delta_extrinsic_rotation_lidar_right(3), delta_extrinsic_translation_imu(3)]."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","LASER_POINT_COV passed to update_iterated_dyn_share_modified","constant and call site","64","64","measurement_noise_or_weight","READ","double scalar variance","R=0.001 applied to every row","point-to-plane residual space","meters squared","formal filter update","constant for every measurement row and every iteration","true","CONFIRMED","CONSTANT_SCALAR_VARIANCE and NO_ROBUST_WEIGHT. The filter uses P/R and H^T H without squaring R; detector R_diag must contain 0.001 for each exported row."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/esekfom/esekfom.hpp","b990411209fe06ae64112c8bc807b0c2a13922fc1460ec2745c6701cc9344e85","R use in update_iterated_dyn_share_modified","filter algebra","1704","1811","measurement_noise_or_weight","READ","double R","scalar isotropic covariance","measurement residual space","meters squared","iterated LiDAR update","same R for every row and model call","false","CONFIRMED","Both algebra branches are equivalent to an R*I measurement covariance; R is variance rather than standard deviation or information."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","kf.update_iterated_dyn_share_modified","call site","957","967","formal_filter_update_call","READ_WRITE","esekfom filter method call","23-state filter with dynamic N x 12 observation","native state coordinates","mixed","LiDAR correction","one invocation per eligible synchronized scan; internally two to five attempted model calls at default max_iteration=4","true","CONFIRMED","The collector must copy formal inputs and return no control signal before this call changes state/covariance."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/esekfom/esekfom.hpp","b990411209fe06ae64112c8bc807b0c2a13922fc1460ec2745c6701cc9344e85","x_.boxplus and posterior covariance update","state update block","1814","1927","posterior_state","WRITE","state_ikfom and cov","23-state plus 23x23 covariance","native state coordinates","mixed","iterated LiDAR correction","after each valid model call; final covariance written on convergence/final iteration","false","CONFIRMED","x_.boxplus applies the correction; final P_=L_-K_x*P_ is the posterior covariance update."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","p_global in h_share_model","expression","652","661","point_to_world_transform","READ_WRITE","V3D and PointType","one point","LiDAR to IMU/body extrinsic then world","meters","measurement-model construction","recomputed for each current point on every model call","true","CONFIRMED","p_global=s.rot*(s.offset_R_L_I*p_body+s.offset_T_L_I)+s.pos."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","map_incremental","function","427","474","map_insert","READ_WRITE","PointVector and KD_TREE","up to feats_down_size points","world","meters","after posterior extraction and pose publication","not measurement-iteration-dependent","false","CONFIRMED","Transforms points using posterior state and calls Add_Points after the formal update."
"FAST-LIO2-ikd-Tree-submodule","e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4","include/ikd-Tree/ikd_Tree.h","bb87cab944c6c59e0be61cb0b3a2cd0e334d93dc1bf768875058857278135a4b","KD_TREE public map API","class method declarations","315","339","ikd_tree_api","READ","KD_TREE API","dynamic map","world","meters","compile-time direct dependency interface","not measurement-iteration-dependent","false","CONFIRMED","The main FAST-LIO2 commit pins this submodule at e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4."
"FAST-LIO2-ikd-Tree-submodule","e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4","include/ikd-Tree/ikd_Tree.cpp","ec3cbbbb6386eb6c68f9aa081c48b5d62209ada44fe167a002d4e3b112a1ea9f","KD_TREE::Add_Points","method","478","573","map_insert","READ_WRITE","KD_TREE and PointVector","dynamic map","world","meters","post-update map maintenance","not measurement-iteration-dependent","false","CONFIRMED","May downsample-delete and add points; uses rebuild synchronization and operation logging when rebuilding."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","lasermap_fov_segment and Delete_Point_Boxes","function and call","231","277","map_delete","READ_WRITE","BoxPointType vector and KD_TREE","zero or more local-map boxes","world","meters","before downsampling and formal measurement construction","once per eligible scan before the measurement model","false","CONFIRMED","The current scan's FOV pruning occurs before J/r construction. A single tap point cannot be both after J/r and before this delete; the contract therefore uses a split collector and records post-prune map semantics."
"FAST-LIO2-ikd-Tree-submodule","e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4","include/ikd-Tree/ikd_Tree.cpp","ec3cbbbb6386eb6c68f9aa081c48b5d62209ada44fe167a002d4e3b112a1ea9f","KD_TREE::Delete_Point_Boxes","method","632","658","map_delete","READ_WRITE","KD_TREE and BoxPointType vector","dynamic map","world","meters","local-map maintenance","not measurement-iteration-dependent","false","CONFIRMED","Deletes map ranges and may append operations to the rebuild logger under mutex protection."
"FAST-LIO2-ikd-Tree-submodule","e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4","include/ikd-Tree/ikd_Tree.cpp","ec3cbbbb6386eb6c68f9aa081c48b5d62209ada44fe167a002d4e3b112a1ea9f","KD_TREE Add/Delete rebuild synchronization","maintenance block","513","568","map_rebuild_maintenance","READ_WRITE","KD_TREE rebuild state and operation logger","dynamic map","world","meters","map mutation and background rebuild coordination","not measurement-iteration-dependent","false","CONFIRMED","Thread-sensitive maintenance is inside native map writes; the tap must neither lock nor alter rebuild state."
"FAST-LIO2-ikd-Tree-submodule","e2e3f4e9d3b95a9e66b1ba83dc98d4a05ed8a3c4","include/ikd-Tree/ikd_Tree.cpp","ec3cbbbb6386eb6c68f9aa081c48b5d62209ada44fe167a002d4e3b112a1ea9f","KD_TREE::size and KD_TREE::validnum","methods","70","163","map_size","READ","int","scalar counts","world map","count","before and after update diagnostics","not measurement-iteration-dependent","true","CONFIRMED","validnum is read before the update; size is read before update and optionally after map_incremental. Calls are rebuild-aware."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","publish_odometry","function","589","625","pose_publish","READ","state_ikfom and 23x23 covariance","pose plus ROS 6x6 covariance","world camera_init pose; body child","meters radians and covariance","after final posterior and before map insertion","not measurement-iteration-dependent","false","CONFIRMED","Publishes posterior pose at lidar_end_time and reorders native covariance from [position,rotation] to ROS [rotation,position] access pattern."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","publish_map; disabled main call","function and call site","567","575","map_publish","READ","featsFromMap PointCloudXYZI","dynamic point cloud","world camera_init","meters","publisher function exists; normal call is commented out","not measurement-iteration-dependent","false","CONFIRMED","The map publisher symbol is real but the main-loop call at line 984 is disabled; FAST-LIO2 does not actively publish the map on this path."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","accepted current index plus ordered neighbors plus pabcd","deterministic proxy inputs","650","705","correspondence_id_source","READ","no native stable correspondence or map-point ID","SHA-256 proxy proposed","scan and world data","quantized bytes","measurement-model correspondence construction","one proxy per accepted row in first valid linearization","true","DERIVABLE","Day 3 proxy is SHA-256(sequence_id,scan_index,current_point_index,ordered neighbor coordinates,quantized plane coefficients) under a locked quantization rule. Memory addresses, method names, and thread order are forbidden."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/use-ikfom.hpp","1ee2c078ee757ff2dffedf48da764daec152baa79876a70785d010cc2e6165ab","state_ikfom manifold declaration","state definition","12","21","native_state_layout","READ","MTK manifold","DOF 23","mixed native state coordinates","mixed","compile-time state definition","mapping is invariant across measurement iterations","true","CONFIRMED","Declared order is position, rotation, extrinsic rotation, extrinsic translation, velocity, gyro bias, accelerometer bias, gravity."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/mtk/types/SOn.hpp","90a8384a05d656698e6826b892561dc6cd619b62a7e32f9e6e3a9253e5e0c8aa","SO3::boxplus and boxminus","manifold operation","233","239","rotation_perturbation_semantics","READ_WRITE","MTK::SO3","3 DOF","right/local tangent frame","radians","state correction","same convention for prior and all iterations","true","CONFIRMED","boxplus is R <- R*Exp(delta); boxminus is Log(R_other^-1*R), proving right perturbation."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/mtk/types/vect.hpp","771ecededd51dc694bdadb57f8a49fad7bc6091c6f6112142096954649ac405f","vect::boxplus and boxminus","manifold operation","117","122","translation_perturbation_semantics","READ_WRITE","MTK::vect<3>","3 DOF","ambient vector axes; position is world and extrinsic translation is IMU/body","meters","state correction","same convention for prior and all iterations","true","CONFIRMED","Vector states use additive boxplus; the state member meaning determines the physical frame."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","include/IKFoM_toolkit/mtk/build_manifold.hpp","0e88522551d02e78dc995e6c9d7883d9ecca7190379ec047ab839fff7186ea0f","MTK_BUILD_MANIFOLD boxplus/boxminus dispatch","macro","180","200","state_column_order_dispatch","READ_WRITE","generated manifold methods","DOF in declaration order","native state coordinates","mixed","state propagation and correction","same order for every iteration","true","CONFIRMED","The macro dispatches boxplus/boxminus over members in declaration order, supporting the 23-column covariance layout."
"FAST-LIO2","7cc4175de6f8ba2edf34bab02a42195b141027e9","src/laserMapping.cpp","edba2d22e98507c86c61126dcca6c2c3ad369e418d0b82f2be9e19f3ee757ac8","max_iteration and init_dyn_share","parameter and initialization","761","828","measurement_iteration_configuration","READ_WRITE","int NUM_MAX_ITERATIONS; limits[23]","default maximum_iter=4","native state coordinates","count and state units","node initialization","loop runs i=-1 through i<maximum_iter","false","CONFIRMED","Default configuration permits at most five measurement-model calls; convergence can return earlier after two converged valid updates."
