condition,geometry_seed,measurement_seed,measurement_seed_changes_input,scene_variant,unique_pair_count,wording_minimum_contribution_pass
FULL_NOISE,1850310744,1664898153,True,LONG_CORRIDOR,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,LONG_CORRIDOR,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,LONG_CORRIDOR,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,LONG_CORRIDOR,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1957656152,217775206,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1957656152,1664898153,True,LONG_CORRIDOR,5,True
FULL_NOISE,1957656152,217775206,True,LONG_CORRIDOR,5,True
FULL_NOISE,1957656152,1664898153,True,LONG_CORRIDOR,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,LONG_CORRIDOR,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,LONG_CORRIDOR,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,LONG_CORRIDOR,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,LONG_CORRIDOR,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,LONG_CORRIDOR,5,True
DROPOUT_ONLY,1334931069,217775206,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1334931069,1664898153,True,PARALLEL_WALLS,5,True
FULL_NOISE,1334931069,217775206,True,PARALLEL_WALLS,5,True
FULL_NOISE,1334931069,1664898153,True,PARALLEL_WALLS,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,PARALLEL_WALLS,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,PARALLEL_WALLS,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,PARALLEL_WALLS,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1850310744,217775206,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1850310744,1664898153,True,PARALLEL_WALLS,5,True
FULL_NOISE,1850310744,217775206,True,PARALLEL_WALLS,5,True
FULL_NOISE,1850310744,1664898153,True,PARALLEL_WALLS,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,PARALLEL_WALLS,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,PARALLEL_WALLS,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,PARALLEL_WALLS,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1957656152,217775206,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1957656152,1664898153,True,PARALLEL_WALLS,5,True
FULL_NOISE,1957656152,217775206,True,PARALLEL_WALLS,5,True
FULL_NOISE,1957656152,1664898153,True,PARALLEL_WALLS,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,PARALLEL_WALLS,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,PARALLEL_WALLS,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,PARALLEL_WALLS,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,PARALLEL_WALLS,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,PARALLEL_WALLS,5,True
DROPOUT_ONLY,1334931069,217775206,True,REPEATED_STRUCTURE,5,True
DROPOUT_ONLY,1334931069,1664898153,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1334931069,217775206,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1334931069,1664898153,True,REPEATED_STRUCTURE,5,True
INDEPENDENT_NOISE_FREE,1334931069,217775206,False,REPEATED_STRUCTURE,1,False
INDEPENDENT_NOISE_FREE,1334931069,1664898153,False,REPEATED_STRUCTURE,1,False
MAP_NOISE_ONLY,1334931069,217775206,True,REPEATED_STRUCTURE,5,True
MAP_NOISE_ONLY,1334931069,1664898153,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1334931069,217775206,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1334931069,1664898153,True,REPEATED_STRUCTURE,5,True
DROPOUT_ONLY,1850310744,217775206,True,REPEATED_STRUCTURE,5,True
DROPOUT_ONLY,1850310744,1664898153,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1850310744,217775206,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1850310744,1664898153,True,REPEATED_STRUCTURE,5,True
INDEPENDENT_NOISE_FREE,1850310744,217775206,False,REPEATED_STRUCTURE,1,False
INDEPENDENT_NOISE_FREE,1850310744,1664898153,False,REPEATED_STRUCTURE,1,False
MAP_NOISE_ONLY,1850310744,217775206,True,REPEATED_STRUCTURE,5,True
MAP_NOISE_ONLY,1850310744,1664898153,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1850310744,217775206,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1850310744,1664898153,True,REPEATED_STRUCTURE,5,True
DROPOUT_ONLY,1957656152,217775206,True,REPEATED_STRUCTURE,5,True
DROPOUT_ONLY,1957656152,1664898153,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1957656152,217775206,True,REPEATED_STRUCTURE,5,True
FULL_NOISE,1957656152,1664898153,True,REPEATED_STRUCTURE,5,True
INDEPENDENT_NOISE_FREE,1957656152,217775206,False,REPEATED_STRUCTURE,1,False
INDEPENDENT_NOISE_FREE,1957656152,1664898153,False,REPEATED_STRUCTURE,1,False
MAP_NOISE_ONLY,1957656152,217775206,True,REPEATED_STRUCTURE,5,True
MAP_NOISE_ONLY,1957656152,1664898153,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1957656152,217775206,True,REPEATED_STRUCTURE,5,True
SCAN_NOISE_ONLY,1957656152,1664898153,True,REPEATED_STRUCTURE,5,True
